id,name,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_percent
f2fbf669-cc12-4dd1-9270-6cbbf2c50ac9,krishnas night jasmine parijat harshringar leaf juice  500 ml,coffee tea  beverages,4.6,18,245.0,250.0,2.0
a197faeb-dc5a-4c01-bd9f-63b9aaea97de,so good soy beverage essential 200 ml,coffee tea  beverages,3.2,830,0.0,30.0,100.0
1614b660-385b-4033-8aef-b5f08a81bc56,vimto fruit cordial 710 ml,coffee tea  beverages,4.5,172,639.99,999.0,35.93693693693694
f8bbd4a5-492c-4997-abcf-ed9159947120,dabur giloy juice immunity booster with natural source of antioxidants  1 l,coffee tea  beverages,4.3,447,210.0,270.0,22.22222222222222
d3710afa-f04e-465a-aaaa-6e440aa4c653,tropicana litchi delight tetra fruit juice 200ml,coffee tea  beverages,4.4,56,15.0,20.0,25.0
8eed8ff2-a6fc-4ff0-b7e3-4c28fcf2ed5d,mapro raw mango crush 750ml,coffee tea  beverages,4.0,296,162.0,180.0,10.0
3567eab7-f612-42b5-a3d8-f1315705a238,mapro litchi crush with litchi shreds 1l,coffee tea  beverages,4.1,249,0.0,252.0,100.0
5f32970e-b574-4323-95dc-7e43b0acef52,raw pressery coconut water aloe vera lemon 200 ml,coffee tea  beverages,4.1,232,0.0,0.0,0.0
6063535d-7bbc-4f48-b3de-133a3fb19897,avg giloy tulsi amla  ashwagandha premium herbal juice immunity booster 1l,coffee tea  beverages,4.1,115,355.0,410.0,13.414634146341465
c3aee4b2-e3f7-4b70-bf56-e17e83f679ec,nutriorg jamun juice  500ml,coffee tea  beverages,3.8,218,319.0,449.0,28.953229398663698
e3937ce3-bd68-44e0-afdc-f12e9e3e586d,b naturall instant chicory root powder  100 gm by b natruall,coffee tea  beverages,4.0,67,99.0,241.0,58.921161825726145
d2c3b3f5-0330-41fb-ae6e-7c05219caade,jacobs creek riesling unvined non alcoholic white grape still wine 750ml,coffee tea  beverages,5.0,1,720.0,900.0,20.0
4fad21ee-d345-4071-9b23-0b6de404642f,mapro lime juice cordial 750ml,coffee tea  beverages,4.1,276,0.0,180.0,100.0
39f97b95-7f2d-495c-a070-dc5c4dfed713,patanjali giloy juice 500ml,coffee tea  beverages,4.2,121,89.0,90.0,1.1111111111111112
2c48e894-4c5e-4f0a-b0b0-80c2d9f2fb6d,mapro kokum crush 1l,coffee tea  beverages,4.3,406,0.0,252.0,100.0
cf6a6c05-e45d-4352-8f4d-7780a14c6602,real thai original thai cuisine coconut milk 135 fl oz  400 ml,coffee tea  beverages,4.3,423,0.0,209.0,100.0
0ab53df4-c1c3-4963-8d69-8fb310cbcea3,mogu mogu strawberry juice 25 with nata de coco 300ml,coffee tea  beverages,4.5,40,70.0,80.0,12.5
55db01a6-7461-45fb-b780-657b5680ef67,mapro black currant crush 750ml,coffee tea  beverages,4.3,101,0.0,225.0,100.0
b3b326b6-ddb7-45de-80d7-5528c60539e3,baidyanath giloy juice helps boost immunity 500 ml,coffee tea  beverages,4.4,88,0.0,150.0,100.0
